dist_top, dist_bottom, dist_left, dist_right, dist_head_tail, dist_candy, move, score, result
883.0, 87.0, 430.0, 517.0, 203.66639388961548, 362.03867196751236,3,0,1
819.0, 151.0, 526.0, 421.0, 255.92381678929377, 249.92798962901293,1,0,1
723.0, 247.0, 590.0, 357.0, 298.52973051272465, 135.7645019878171,1,0,1
595.0, 375.0, 590.0, 357.0, 341.2638275586793, 101.19288512538814,3,0,1
531.0, 439.0, 686.0, 261.0, 395.41497189661396, 96.0,0,0,1
627.0, 343.0, 750.0, 197.0, 335.05969617368186, 64.0,3,0,1
659.0, 311.0, 846.0, 101.0, 378.93007270471423, 163.1686244349691,2,0,1
-1, -1, -1, -1, -1, -1,3,0,1
-1, -1, -1, -1, -1, -1,1,0,0
947.0, 23.0, 15.0, 932.0, -1, 944.4749864342623,3,0,1
947.0, 23.0, 142.0, 805.0, 79.0, 891.4168497397836,0,0,1
-1, -1, -1, -1, -1, -1,3,0,0
947.0, 23.0, 15.0, 932.0, -1, 997.8461805308472,3,0,1
947.0, 23.0, 174.0, 773.0, 95.0, 853.2877591996735,2,0,1
947.0, 23.0, 334.0, 613.0, 175.0, 714.0448165206438,2,0,1
947.0, 23.0, 494.0, 453.0, 255.0, 585.5083261577072,3,0,1
947.0, 23.0, 654.0, 293.0, 335.0, 476.4241807465276,1,0,1
819.0, 151.0, 718.0, 229.0, 289.99310336626974, 336.24395905354197,3,0,1
755.0, 215.0, 846.0, 101.0, 282.0638225650358, 212.0471645648675,2,0,1
-1, -1, -1, -1, -1, -1,0,0,1
-1, -1, -1, -1, -1, -1,0,0,0
947.0, 23.0, 15.0, 932.0, -1, -1,0,0,1
962.0, 8.0, 63.0, 884.0, 22.67156809750927, -1,3,0,0
947.0, 23.0, 15.0, 932.0, -1, 884.859875912565,1,0,1
851.0, 119.0, 46.0, 901.0, 72.44308110509934, 784.4896430164008,3,0,1
787.0, 183.0, 142.0, 805.0, 113.85077953180645, 706.9031050999847,3,0,1
787.0, 183.0, 270.0, 677.0, 181.7305698004604, 706.9031050999847,3,0,1
787.0, 183.0, 430.0, 517.0, 270.27578507887085, 738.7773683593725,3,0,1
787.0, 183.0, 622.0, 325.0, 373.90506816570434, 817.7236697075608,0,0,1
915.0, 55.0, 654.0, 293.0, 350.5652578336878, 944.9486758549376,2,0,1
962.0, 8.0, 638.0, 309.0, 328.8236609491476, 979.4207471766156,0,0,0
947.0, 23.0, 15.0, 932.0, -1, 505.01584133569514,1,0,1
883.0, 87.0, 46.0, 901.0, 53.9351462406472, 458.1702740248433,0,0,1
755.0, 215.0, 46.0, 901.0, 123.06502346320826, 449.14140312378237,2,0,1
